x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-85.9011111111111,51.658611111111114,52898,OGOKI POST A,ON,ONTARIO,ONTARIO,CAN,513931000,-855404000,EST,181.00,6075786,YKP,71652,Aviation-Auto,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2014-11-06 16:00:00,2024-03-06 12:30:01,2014-11-06 16:00:00,2024-03-06 12:30:01,2014-11-13 00:00:00,2024-03-06 00:00:00,,,Y,N,N
-81.8163888888889,69.36472222222223,53334,IGLOOLIK A,NU,NUNAVUT,NUNAVUT,CAN,692153000,-814859000,EST,52.70,2402541,YGT,,Aviation-Staffed,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2015-01-15 14:00:00,2024-03-06 12:30:01,2015-01-15 14:00:00,2024-03-06 12:30:01,,,,,N,N,Y
-82.90805555555555,76.42583333333333,53513,GRISE FIORD A,NU,NUNAVUT,NUNAVUT,CAN,762533000,-825429000,EST,41.10,2402338,WGZ,,Aviation-Staffed,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2015-02-12 14:00:00,2024-03-06 12:30:01,2015-02-12 14:00:00,2024-03-06 12:30:01,,,,,N,N,Y
-80.30305555555556,46.21527777777778,53618,MONETVILLE 2,ON,ONTARIO,ONTARIO,CAN,461255000,-801811000,EST,205.00,6065252,,,Climate-Staffed,,,,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,2015-02-28 00:00:00,2024-03-05 00:00:00,,,2015-02-28 00:00:00,2024-03-05 00:00:00,,,Y,N,N
-82.95,76.41666666666667,1753,GRISE FIORD,NU,NUNAVUT,NUNAVUT,CAN,762500000,-825700000,AST,1.50,2402345,,,N/A,G,1,8,,,,,1973-01-01 00:00:00,1977-12-01 00:00:00,,,1973-10-01 00:00:00,1977-06-30 00:00:00,1973-01-01 00:00:00,1977-12-01 00:00:00,Y,N,N
-77.93333333333334,63.11666666666667,1770,NOTTINGHAM ISLAND,NU,NUNAVUT,NUNAVUT,CAN,630700000,-775600000,AST,16.50,2402900,,,N/A,,1,9,,,,,1927-01-01 00:00:00,1970-12-01 00:00:00,1953-01-01 01:00:00,1970-07-31 22:00:00,1927-09-01 00:00:00,1970-07-31 00:00:00,1927-01-01 00:00:00,1970-12-01 00:00:00,Y,N,N
-93.51666666666667,69.53333333333333,1781,SPENCE BAY,NU,NUNAVUT,NUNAVUT,CAN,693200000,-933100000,AST,12.20,2403800,,,N/A,G,1,8,,,,,1951-01-01 00:00:00,1976-12-01 00:00:00,1953-01-05 07:00:00,1963-11-30 12:00:00,1951-10-01 00:00:00,1976-09-30 00:00:00,1951-01-01 00:00:00,1976-12-01 00:00:00,Y,N,N
-66.18333333333334,45.21666666666667,6101,SAINT JOHN SPRUCE LAKE,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,451300000,-661100000,AST,61.00,810D9KN,,,N/A,G,1,8,,,,,1971-01-01 00:00:00,1973-12-01 00:00:00,,,1971-06-01 00:00:00,1973-05-31 00:00:00,1971-01-01 00:00:00,1973-12-01 00:00:00,Y,N,N
-65.65,47.61666666666667,6115,BATHURST,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,473700000,-653900000,AST,4.60,8100502,,,N/A,C,1,4,,,,,1964-01-01 00:00:00,1992-12-01 00:00:00,,,1964-07-01 00:00:00,1992-06-30 00:00:00,1964-01-01 00:00:00,1992-12-01 00:00:00,Y,N,N
-65.88333333333334,47.483333333333334,6125,BRUNSWICK MINES,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,472900000,-655300000,AST,213.40,8100583,,,N/A,F,1,7,,,,,1973-01-01 00:00:00,1981-12-01 00:00:00,,,1973-01-01 00:00:00,1981-03-31 00:00:00,1973-01-01 00:00:00,1981-12-01 00:00:00,Y,N,N
-65.13333333333334,47.233333333333334,6129,BURNT CHURCH,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,471400000,-650800000,AST,15.20,8100601,,,N/A,G,1,8,,,,,1974-01-01 00:00:00,1976-12-01 00:00:00,,,1974-02-01 00:00:00,1976-06-30 00:00:00,1974-01-01 00:00:00,1976-12-01 00:00:00,Y,N,N
-67.7,46.38333333333333,6136,CENTREVILLE,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,462300000,-674200000,AST,143.00,8100850,,,N/A,D,1,5,,,,,1965-11-01 00:00:00,1993-12-01 00:00:00,,,1965-11-01 00:00:00,1993-09-30 00:00:00,1966-01-01 00:00:00,1993-12-01 00:00:00,Y,N,N
-64.78333333333333,45.93333333333333,6149,DAWSON SETTLEMENT,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,455600000,-644700000,AST,152.40,8101178,,,N/A,F,1,7,,,,,1964-01-01 00:00:00,1979-12-31 00:00:00,,,1964-07-01 00:00:00,1979-12-31 00:00:00,1964-01-01 00:00:00,1979-12-01 00:00:00,Y,N,N
-68.33333333333333,47.36666666666667,6154,EDMUNDSTON,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,472200000,-682000000,AST,173.70,8101300,,,N/A,,1,9,,,,,1913-01-01 00:00:00,1957-04-30 00:00:00,,,1913-12-01 00:00:00,1957-04-30 00:00:00,1913-01-01 00:00:00,1956-12-01 00:00:00,Y,N,N
-67.03333333333333,45.666666666666664,6174,HARVEY STATION,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,454000000,-670200000,AST,182.90,8102201,,,N/A,D,1,5,,,,,1976-01-01 00:00:00,1996-09-30 00:00:00,,,1976-11-01 00:00:00,1996-09-30 00:00:00,1976-01-01 00:00:00,1996-09-01 00:00:00,Y,N,N
-64.68333333333334,45.95,6177,HILLSBOROUGH,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,455700000,-644100000,AST,40.80,8102220,,,N/A,,1,9,,,,,1961-01-01 00:00:00,1962-12-01 00:00:00,,,1961-06-01 00:00:00,1962-06-30 00:00:00,1961-01-01 00:00:00,1962-12-01 00:00:00,Y,N,N
-66.86666666666666,45.96666666666667,6184,KESWICK RIDGE MACTAQUAC,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,455800000,-665200000,AST,7.60,8102312,,,N/A,F,1,7,,,,,1965-01-01 00:00:00,1978-12-01 00:00:00,,,1965-06-01 00:00:00,1978-08-31 00:00:00,1965-01-01 00:00:00,1978-12-01 00:00:00,Y,N,N
-69.95583333333333,58.66777777777778,54018,TASIUJAQ A,QC,QUEBEC,QUÉBEC,CAN,584004000,-695721000,EST,36.90,7118365,YTQ,,Aviation-Staffed,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2012-02-09 14:00:00,2024-03-06 12:30:01,2012-02-09 14:00:00,2024-03-06 12:30:01,,,,,N,N,Y
